battery,bus,cpu_brand_modifier,cpu_generation,cpu_manufacturer,cpu_speed,gpu_manufacturer,manufacturer,price,ram,ram_type,screen_resolution,screen_size,storage,weight
41Wh,,i5,1235U,Intel,"4.40GHz,",Intel®,Dell,15.590.000,8GB,DDR4,1920 x 1080,15.6,512GB,1.90 kg
56Wh,6400MHz,Ultra5,135U,Intel,"4.40GHz,",Intel®,HP,46.990.000,16GB,LPDDR5x,1920 x 1200,13.3,512GB,"Fingerprint, LED Keyboard"
77Whr,7467MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,LG,32.990.000,16GB,LPDDR5X,2560 x 1600,16,512GB,1197g
65Whrs,,Ultra5,226V,Intel,"4.50GHz,",Intel®,Acer,34.990.000,16GB,LPDDR5X,2880×1880,14,1TB,1.26 kg
72WHrs,7467MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,LG,31.990.000,32GB,LPDDR5X,1920 x 1200,14,1TB,1120 g
54Whr,3200MHz,i7,1355U,Intel,"5.00GHz,",Intel,Dell,25.990.000,16GB,DDR4,1920 x 1080,15.6,1TB,1.65 kg
71Wh,6400MHz,5,8640HS,AMD,"4.90GHz,",AMD,Lenovo,17.990.000,8GB,LPDDR5,1920x1200,16.0,512GB,1.99 kg
72WHrs,6400MHz,Ultra5,125H,Intel,"4.50GHz,",Intel®,LG,27.990.000,16GB,LPDDR5X,1920 x 1200,14,512GB,1247 g
41WHrs,3200MHz,i5,1334U,Intel,"4.60GHz,",Intel,Dell,16.990.000,16GB,DDR4,1920 x 1080,15.6,512GB,1.66 kg
42WHrs,3200MHz,i5,1235U,Intel,4.40,Intel,Dell,16.490.000,8GB(8GBx1),DDR4,1920 x 1080,14,512GB,Grayish Black
75Wh,5600MHz,Ultra5,125H,Intel,"4.50GHz,",NVIDIA®,Lenovo,45.290.000,32GB,DDR5,3072x1920,14.5,1TB,1.61kg
72Whr,6400MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,LG,33.990.000,16GB,LPDDR5X,1920 x 1080,15.6,1TB,1302 g
90Whr,,Ultra7,155H,Intel,"4.80GHz,",NVIDIA®,MSI,36.990.000,32GB(2,DDR5,2880x1800,14,1TB,Stellar Gray (Xám)
54Wh,6400MHz,Ultra7,,Intel,"4.90GHz,",Intel®,Dell,32.790.000,16GB,LPDDR5x,1920x1080,13.3,512GB,1.35 kg
42WHrs,,i7,1255U,Intel,"4.40GHz,",Intel®,Asus,17.990.000,16GB,DDR4,1920 x 1080,15.6,512GB,1.70 kg
41WHrs,3200MHz,7-150U,150U,Intel,"5.40GHz,",Intel,HP,24.790.000,16GB,DDR4,1920 x 1080,14,1TB,1.4 kg
59Wh,6400MHz,5,8640HS,AMD,"4.90GHz,",AMD,HP,30.390.000,16GB,LPDDR5,2880 x 1800,14,1TB,Đèn nền bàn phím
58WHrs,,i5,1334U,Intel,"4.60GHz,",Intel®,Acer,15.990.000,16GB,DDR5,1920x1200,14.0,512GB,Silver (Bạc)
56Wh,5600MHz,Ultra5,125H,Intel,"4.50GHz,",Intel®,HP,25.990.000,16GB,DDR5,1920 x 1200,16,512GB,1.74 kg
54.7Wh,6400MHz,Ultra5,125H,Intel,"4.50GHz,",Intel®,Lenovo,34.200.000,32GB,LPDDR5x,1920x1200,13.3,512GB,1.17 kg
90Wh,7467MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA®,LG,48.990.000,16GB,LPDDR5X,2560 x 1600,17,1TB,1378 g
56Wh,5600MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,HP,32.490.000,16GB,DDR5,1920 x 1200,14,512GB,1.39kg
77Whr,7467MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,LG,38.990.000,16GB,LPDDR5X,2560 x 1600,16,512GB,1397g
54.7Wh,6400MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Lenovo,40.990.000,16GB,LPDDR5x,1920x1200,13.3,512GB,1.17 kg
52.5Wh,4266MHz,5,7430U,AMD,"4.30GHz,",AMD,Lenovo,16.990.000,16GB,LPDDR4x,1920x1200,14.0,512GB,1.55 kg
kg,7500MHz,AI9,,AMD,"5.00GHz,",AMD,MSI,40.990.000,32GB,LPDDR5x,3840x2400,16,1TB,4Cell 82Whr
56Wh,5600MHz,Ultra7,155U,Intel,"4.80GHz,",Intel,HP,30.990.000,16GB,DDR5,1920 x 1200,14,512GB,1.39kg
52.5Wh,5600MHz,Ultra5,125H,Intel,"4.50GHz,",Intel®,Lenovo,31.990.000,16GB,DDR5,2240x1400,14.0,512GB,1.38 Kg
52.5WHrs,5600MHz,Ultra7,155H,Intel,"4.80GHz,",Intel®,Lenovo,34.490.000,16GB,DDR5,1920x1200,14.0,512GB,1.36 Kg
52.5Wh,4266MHz,7,7730U,AMD,"4.50GHz,",AMD,Lenovo,18.990.000,16GB,LPDDR4x,1920x1200,14.0,512GB,1.55 kg
54WHr,5200MHz,5,120U,Intel,"5.00GHz,",Intel®,Dell,30.890.000,16GB,DDR5,1920 x 1200,14.0,1TB,1.74 kg
kg,7647MHz,Ultra5,125H,Intel,"4.50GHz,",Intel®,Lenovo,22.990.000,16GB,LPDDR5x,2560 x 1600,14,512GB,Xám
56Wh,7500MHz,Ultra7,155U,Intel,"4.80GHz,",Intel®,HP,47.990.000,16GB,LPDDR5x,1920 x 1200,13.3,512GB,"Fingerprint, LED Keyboard"
75WHrs,5600MHz,Ultra7,155H,Intel,"4.80GHz,",NVIDIA®,ASUS,28.990.000,16GB,DDR5,1920x 1080,15.6,1TB,Earl Gray
43Wh,3200MHz,7,150U,Intel,"5.40GHz,",Intel,HP,21.990.000,16GB,DDR4,1920 x 1080,14-,512GB,1.52 kg
54WHrs,,i7,1355U,Intel,"5.00GHz,",Intel,Dell,22.390.000,16GB,DDR4,1920 x 1080,15.6,512GB,1.62 kg
41WHrs,3200MHz,i5,1334U,Intel,"4.60GHz,",Intel,Dell,17.990.000,8GB,DDR4,1920 x 1080,15.6,512GB,1.62 kg
