battery,bus,cpu_brand_modifier,cpu_generation,cpu_manufacturer,cpu_speed,gpu_manufacturer,manufacturer,price,ram,ram_type,screen_resolution,screen_size,storage,weight
60Wh,4800MHz,7,7435HS,AMD,"4.50GHz,",NVIDIA®,Lenovo,27.990.000,16GB,DDR5,1920x1080,15.6,512GB,Luna Grey (Xám)
86WHrs,4800MHz,7,7840HS,AMD,"5.10GHz,",NVIDIA,Dell,27.990.000,16GB,DDR5,1920x1080,15.6,512GB,2.81 Kg
60Wh,4800MHz,5,7235HS,AMD,"4.20GHz,",NVIDIA®,Lenovo,23.990.000,12GB,DDR5,1920x1080,15.6,512GB,Luna Grey (Xám)
,,i7,13650HX,Intel,"4.90GHz,",NVIDIA,Dell,30.990.000,16GB,DDR5,1920x1080,15.6,1TB,2.65 Kg
99.99WH,5600MHz,i9,14900HX,Intel,"5.80GHz,",NVIDIA®,Lenovo,69.990.000,32GB,DDR5,2560x1600,16.0,2TB,2.62 kg
60Wh,4800MHz,i7,13650HX,Intel,"4.90GHz,",NVIDIA®,Lenovo,35.990.000,24GB(2x,DDR5,1920x1080,15.6,512GB,Luna Grey (Xám)
"90WHrs,",5600MHz,i9,14900HX,Intel,"5.80GHz,",NVIDIA®,Asus,120.000.000,32GB,DDR5,"2560 x 1600, WQXGA",16,2TB,2.65 kg
80WH,4800MHz,i9,14900HX,Intel,"5.80GHz,",NVIDIA®,Lenovo,47.990.000,16GB,DDR5,2560x1600,16.0,512GB,2.43 kg
60Wh,5600MHz,7,8745H,AMD,"4.90GHz,",NVIDIA®GeForce®,Lenovo,30.990.000,16GB,DDR5,1920x1080,15.6,512GB,2.4 Kg
65Whrs,5600MHz,i7,14650HX,Intel,"5.20GHz,",NVIDIA®,MSI,41.990.000,16GB,DDR5,2560 x 1600,16,1TB,2.30 Kg
90Wh,5600MHz,i7,14650HX,Intel,"5.20GHz,",NVIDIA,Acer,46.990.000,16GB,DDR5,2560 x 1600,16,1TB,2.8 kg
57.5Wh,5200MHz,i7,13620H,Intel,"4.90GHz,",NVIDIA®,Acer,32.990.000,16GB,DDR5,1920 x 1080,15.6,512GB,2.1kg
57.5Wh,5200MHz,i7,13620H,Intel,"4.90GHz,",NVIDIA®,Acer,27.990.000,16GB,DDR5,1920 x 1080,15.6,512GB,2.1kg
52.5Wh,3200MHz,i5,12450H,Intel,"4.40GHz,",NVIDIA®,HP,21.990.000,16GB,DDR4,1920 x 1080,15.6,512GB,2.29 kg
70Wh,5600MHz,i5,14450HX,Intel,"4.80GHz,",NVIDIA,HP,32.290.000,32GB,DDR5,1920 x 1080,16.1,1TB,2.31kg
90Wh,5600MHz,i9,14900HX,Intel,"5.80GHz,",NVIDIA,Acer,35.990.000,16GB,DDR5,1900 x 1200,16,1TB,2.6 kg
70Wh,5600MHz,i5,14450HX,Intel,"4.80GHz,",NVIDIA,HP,31.690.000,16GB,DDR5,1920 x 1080,16.1,1TB,2.31kg
90WHrs,4800MHz,i7,13650HX,Intel,"4.90GHz,",NVIDIA®,Asus,40.990.000,16GB,DDR5,2560 x 1600,18,2TB,3.00 kg
60Wh,4800MHz,i7,13650HX,Intel,"4.90GHz,",NVIDIA®,Lenovo,32.990.000,24GB(2x,DDR5,1920x1080,15.6,512GB,Luna Grey (Xám)
52.5Whrs,4800MHz,5,7535HS,AMD,"4.55GHz,",AMD,HP,17.990.000,8GB,DDR5,1920 x 1080,"15.6-,",512GB,2.29 kg
99.99Whr,5600MHz,Ultra9,185H,Intel,"5.10GHz,",NVIDIA®,MSI,78.990.000,64GB,DDR5,2560 x 1600,16,1TB,1.99 kg
54WHr,5600MHz,Ultra7,165H,Intel,"5.0GHz,",Intel,Dell,46.990.000,16GB(1,DDR5,1920x1080,15.6,512GB,1.62 kg
90Whr,5600MHz,i9,14900HX,Intel,"5.80GHz,",NVIDIA,MSI,45.990.000,16GB,DDR5,2560 x 1600,16,1TB,2.5 kg
"48WHrs,",5600MHz,7,7435HS,AMD,"4.50GHz,",NVIDIA®,Asus,21.990.000,16GB,DDR5,1920 x 1080,15.6-,512GB,2.30 Kg
57WHrs,4800MHz,5,6600H,AMD,"4.50GHz,",NVIDIA®,Acer,22.990.000,16GB,DDR5,1920 x 1080,15.6,512GB,2.1kg
60Wh,4800MHz,5,7235HS,AMD,"4.20GHz,",NVIDIA®,Lenovo,24.490.000,24GB,DDR5,1920x1080,15.6,512GB,Luna Grey (Xám)
90WHrs,4800MHz,7,7435HS,AMD,"4.50GHz,",AMD,Asus,28.490.000,16GB,DDR5,1920 x 1200,16.0,512GB,2.20Kg
"90WHrs,",4800MHz,i7,13650HX,Intel,"4.90GHz,",NVIDIA®,Asus,38.990.000,16GB,DDR5,"2560 x 1600, WQXGA",16-,512GB,2.50 kg
"56WHrs,",3200MHz,i5,12500H,Intel,"4.50GHz,",NVIDIA® GeForce RTX™ 3050,Asus,23.990.000,8GB,DDR4,1920 x 1080,15.6,512GB,2.20Kg
80WH,5600MHz,i9,14900HX,Intel,"5.80GHz,",NVIDIA®,Lenovo,49.990.000,32GB,DDR5,2560x1600,16.0,1TB,2.5 kg
80WH,5600MHz,i7,14650HX,Intel,"5.20GHz,",NVIDIA®,Lenovo,38.990.000,16GB,DDR5,2560x1600,16.0,512GB,2.36 kg
