Battery (WHrs),Bus (MHz),CPU Brand Modifier,CPU Generation,CPU Manufacturer,CPU Speed (GHz),GPU Manufacturer,Manufacturer,RAM (GB),RAM Type,Screen Resolution,Screen Size (Inches),Storage (GB),Weight (kg),Price
90,5600,Ultra7,155.0,Intel,4.80,Nvidia,Lenovo,64,DDR5,1920x1200,16.0,2048.0,2.22,72680000
90,5600,Ultra7,155.0,Intel,4.80,Nvidia,Lenovo,32,DDR5,3840x2400,16.0,1024.0,2.22,67770000
90,5600,Ultra7,155.0,Intel,4.80,Nvidia,Lenovo,64,DDR5,1920x1200,16.0,1024.0,2.22,63240000
54.7,6400,Ultra7,155.0,Intel,4.80,Intel,Lenovo,16,LPDDR5x,1920x1200,13.3,1024.0,1.17,42690000
90,5600,7,13700.0,Intel,5.00,Nvidia,Lenovo,64,DDR5,3840x2400,16.0,1024.0,2.2,71560000
90,5600,Ultra7,155.0,Intel,4.80,Nvidia,Lenovo,32,DDR5,1920x1200,16.0,1024.0,2.22,59630000
56,5600,Ultra5,125.0,Intel,4.30,Intel,HP,16,DDR5,1920x1200,13.3,512.0,,23990000
56,5600,Ultra5,125.0,Intel,4.30,Intel,HP,16,DDR5,1920x1200,13.3,512.0,,24990000
56,5600,Ultra5,125.0,Intel,4.30,Intel,HP,16,DDR5,1920x1200,13.3,512.0,,27890000
56,5600,Ultra7,155.0,Intel,4.80,Intel,HP,16,DDR5,1920x1200,13.3,512.0,,30990000
56,5600,Ultra7,155.0,Intel,4.80,Intel,HP,16,DDR5,1920x1200,13.3,512.0,,28390000
72,8533,Ultra7,258.0,Intel,4.80,Intel,ASUS,32,LPDDR5X,2880x1800,14.0,1024.0,,44990000
56,5600,Ultra5,125.0,Intel,4.30,Intel,HP,16,DDR5,1920x1200,13.3,512.0,,28890000
56,5600,Ultra7,155.0,Intel,4.80,Intel,HP,16,DDR5,1920x1200,13.3,512.0,,31990000
56,5600,Ultra7,155.0,Intel,4.80,Intel,HP,16,DDR5,1920x1200,13.3,512.0,,29390000
3,8448,EliteX1E,,Snapdragon,3.4,Qualcomm,Asus,32,LPDDR5X,2880x1620,15.6,1024.0,1.42,34990000
59,6400,Ultra5,125.0,Intel,4.30,Intel,HP,16,LPDDR5,2880x1800,14.0,1024.0,1.34,31290000
65,6400,Ultra7,155.0,Intel,4.80,Intel,Acer,16,LPDDR5X,2880x1800,14.0,512.0,1.32,27490000
54,,5,8640.0,AMD,4.90,Amd,Dell,8,DDR5,1920x1200,14.0,512.0,1.71,16990000
59,6400,Ultra5,125.0,Intel,4.30,Intel,HP,16,LPDDR5,2880x1800,14.0,512.0,1.34,29490000
50,3200,7,5700.0,AMD,4.30,Amd,Acer,8,DDR4,1920x1080,15.6,512.0,1.7,12990000
60,7467,Ultra7,155.0,Intel,4.80,Intel,LG,16,LPDDR5X,1920x1080,15.6,512.0,0.99,37990000
58,4800,7,1255.0,Intel,4.70,Intel,Acer,16,DDR5,1920x1200,16.0,512.0,,16990000
38,3200,5,13420.0,Intel,4.60,Intel,Lenovo,16,DDR4,1920x1080,14.0,512.0,1.43,15730000
71,3200,7,7730.0,AMD,4.50,Amd,Lenovo,32,DDR4,2560x1600,16.0,1024.0,1.7,26490000
47,3200,5,13500.0,Intel,4.70,Intel,Lenovo,32,DDR4,1920x1200,14.0,512.0,1.53,21490000
75,5600,Ultra7,155.0,Intel,4.80,Nvidia,Lenovo,64,DDR5,1920x1200,16.0,1024.0,1.82,55420000
75,5600,Ultra7,155.0,Intel,4.80,Nvidia,Lenovo,32,DDR5,1920x1200,16.0,1024.0,1.82,51800000
75,5600,Ultra7,155.0,Intel,4.80,Nvidia,Lenovo,64,DDR5,1920x1200,16.0,1024.0,1.82,49190000
75,5600,Ultra7,155.0,Intel,4.80,Nvidia,Lenovo,64,DDR5,3840x2400,16.0,2048.0,1.82,69170000
45,5200,7,1355.0,Intel,5.00,Intel,Lenovo,16,DDR5,1920x1200,14.0,512.0,1.38,21990000
75,5600,Ultra7,155.0,Intel,4.80,Nvidia,Lenovo,96,DDR5,3072x1920,14.5,2048.0,1.61,66990000
75,5600,Ultra7,155.0,Intel,4.80,Nvidia,Lenovo,64,DDR5,3072x1920,14.5,1024.0,1.61,59630000
75,5600,Ultra7,155.0,Intel,4.80,Nvidia,Lenovo,32,DDR5,3072x1920,14.5,1024.0,1.61,55990000
