Title,Now Price,Link,Manufacturer,html_file,CPU manufacturer,CPU,CPU Speed (GHz),RAM (GB),RAM Type,Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,GPU,Weight (kg),Battery,Charging
Laptop HP Envy X360 14-fa0092AU R7-8840HS/AI/32GB/1TB/14'' Touch 2.8K OLED/Pen/Win11/Office HS21,Hàng sắp về,https://fptshop.com.vn//may-tinh-xach-tay/hp-envy-x360-14-fa0092au-r7-8840hs-ay8u2pa,hp,data/laptop_html/hp+29.html,AMD,8840HS,3.3 ,32 GB (2 thanh 16 GB),LPDDR5,1 ,14 inch,2880 x 1800 Pixels Màn hình chính:,120 ,AMD,Đang cập nhật,1.39 kg,59 Wh,65 W
Laptop HP Envy X360 14-fc0161TU Core Ultra 5-125U/AI/16GB/512GB/14'' Touch 2.8K OLED/Pen/Win11/Office HS21,Hàng sắp về,https://fptshop.com.vn//may-tinh-xach-tay/hp-envy-x360-14-fc0161tu-core-ultra-5-125u,hp,data/laptop_html/hp+30.html,Intel,125U,0.7 ,16 GB (2 thanh 8 GB),LPDDR5,512 ,14 inch,2880 x 1800 Pixels Màn hình chính:,120 ,Intel,NA,1.39 kg,59 Wh,65 W
Laptop HP Envy x360 14-fc0156TU Core Ultra 7-155U/AI/16GB/1TB/14'' Touch 2.8K OLED/Pen/Win11/Office HS21,Hàng sắp về,https://fptshop.com.vn//may-tinh-xach-tay/hp-envy-x360-14-fc0156tu-core-ultra-7-155u,hp,data/laptop_html/hp+31.html,Intel,155U,0.7 ,16 GB (2 thanh 8 GB),LPDDR5,1 ,14 inch,2880 x 1800 Pixels Màn hình chính:,120 ,Intel,NA,1.39 kg,59 Wh,65 W
"Laptop Lenovo V15 G4 IRU i5 13420H/16GB/512GB/15.6""FHD/Win 11",14.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-v15-g4-iru-i5-13420h-16gb,lenovo,data/laptop_html/lenovo+0.html,Intel,13420H,2.1 ,16 GB (2 thanh 8 GB),DDR4,512 ,15.6 inch,1920 x 1080 Pixels,60 ,Intel,UHD,1.65 kg,38 Wh,65 W
"Laptop Lenovo IdeaPad 3 14IAH8 i5 12450H/16GB/512GB/14""FHD/Win11",13.690.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-ideapad-3-14iah8-i5-12450h,lenovo,data/laptop_html/lenovo+1.html,Intel,12450H,2.00 Ghz,16 GB (2 thanh 8 GB),DDR5,512 GB,14.0 inch,1920 x 1080 Pixels,60 Hz,Intel,UHD,1.37 kg,47 Wh,65 W
"Laptop Lenovo Gaming LOQ - 15IAX9 i5 12450HX/AI/12GB/512GB/15.6""FHD/RTX3050 6GB/Win11",20.290.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-gaming-loq-15iax9-i5-12450hx-12gb-rtx3050,lenovo,data/laptop_html/lenovo+2.html,Intel,12450HX,2.4 ,12 GB,DDR5,512 ,15.6 inch,1920 x 1080 Pixels,144 ,NVIDIA,GeForce RTX 3050,2.38 kg,60 Wh,170 W
"Laptop Lenovo Ideapad Slim 3 15IRH8 i7 13620H/16GB/512GB/15.6"" FHD/Win 11",16.490.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-ideapad-slim-3-15irh8-i7-13620h,lenovo,data/laptop_html/lenovo+3.html,Intel,13620H,2.4 ,16 GB (1 thanh 16 GB),DDR5,512 ,15.6 inch,1920 x 1200 Pixels,60 ,Intel,UHD,1.62 kg,47 Wh,65 W
"Laptop Lenovo Gaming LOQ - 15IAX9 i5 12450HX/AI/16GB/512GB/15.6""FHD/RTX2050 4GB/Win11",19.490.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-gaming-loq-15iax9-i5-12450hx,lenovo,data/laptop_html/lenovo+4.html,Intel,12450HX,NA,16 GB (2 thanh 8 GB),DDR5,512 ,15.6 inch,1920 x 1080 Pixels,144 ,NA,Geforce RTX 2050,2.38 kg,60 Wh,135 W
"Laptop Lenovo ThinkBook 14 G6 IRL I5 13420H/16GB/512GB/14"" WUXGA/Win 11",18.290.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-thinkbook-14-g6-irl-i5-13420h,lenovo,data/laptop_html/lenovo+5.html,Intel,13420H,2.1 ,16 GB (2 thanh 8 GB),DDR5,512 ,14 inch,1920 x 1200 Pixels,60 ,Intel,UHD,1.38 kg,60 Wh,100 W
"Laptop Lenovo IdeaPad Slim 5 16IAH8 i5 12450H/16GB/512GB/16""WUXGA/Win11",15.990.000 ₫,https://fptshop.com.vn//may-tinh-xach-tay/lenovo-ideapad-slim-5-16iah8-i5-12450h,lenovo,data/laptop_html/lenovo+6.html,Intel,12450H,2 Ghz,16 GB (2 thanh 8 GB),DDR5,512 GB,16 inch,1920 x 1200 Pixels,60 Hz,Intel,UHD,1.89 kg,3 Cell,65 W
